Date,ALUA.BA Close,BBAR.BA Close,BMA.BA Close,BYMA.BA Close,CEPU.BA Close,COME.BA Close,CRES.BA Close,CVH.BA Close,EDN.BA Close,GGAL.BA Close,LOMA.BA Close,MIRG.BA Close,PAMP.BA Close,SUPV.BA Close,TECO2.BA Close,TGNO4.BA Close,TGSU2.BA Close,TRAN.BA Close,TXAR.BA Close,VALO.BA Close,YPFD.BA Close
2021-07-21,59.2,142.05,200.21,77.45,41.5,4.65,113.25,375.0,39.2,148.95,272.45,1966.0,116.0,72.65,184.5,56.2,160.45,34.35,13.85,25.85,785.55
2021-07-22,59.9,142.05,195.23,76.8,41.3,4.68,116.3,362.5,38.45,147.5,276.3,1963.5,118.7,71.5,182.0,56.4,160.6,34.4,13.85,25.7,783.6
2021-07-23,59.9,142.05,190.52,76.6,40.75,4.74,113.75,353.0,38.85,144.7,276.3,1960.5,116.0,68.9,178.9,55.5,158.95,34.4,13.85,25.45,765.45
2021-07-26,59.4,142.05,193.15,77.3,41.95,4.7,114.0,349.0,38.7,148.15,285.1,1969.0,117.3,69.8,180.7,54.1,163.05,33.7,13.85,25.5,782.4
2021-07-27,59.1,142.05,194.46,77.3,42.75,4.59,110.65,340.0,38.75,147.2,284.45,1969.0,119.6,69.4,181.4,53.9,163.8,33.4,13.85,25.45,771.7
2021-07-28,59.4,142.05,195.35,77.9,44.3,4.51,113.8,339.0,38.9,149.05,291.9,1986.5,119.5,70.4,184.05,52.8,161.2,32.95,13.85,25.15,775.9
2021-07-29,60.4,142.05,194.54,78.0,45.0,4.4,115.5,345.0,39.85,147.6,297.05,1989.0,119.95,70.7,184.0,53.0,162.3,33.55,13.85,24.95,802.45
2021-07-30,60.3,142.05,189.68,78.0,44.65,4.33,112.25,339.0,39.0,142.55,289.65,1978.5,113.75,69.3,181.65,51.7,159.05,32.45,13.85,24.3,788.75
2021-08-02,61.5,142.05,186.74,78.5,45.85,4.5,114.55,333.5,40.3,142.35,289.0,1989.0,111.85,68.55,181.0,51.3,159.55,32.35,13.85,23.8,778.45
2021-08-03,61.1,142.05,190.33,79.0,44.65,4.5,111.7,332.0,41.0,145.6,292.15,1993.5,111.45,69.8,180.1,53.4,162.65,32.05,13.85,23.95,777.55
2021-08-04,59.8,142.05,188.36,79.0,42.55,4.6,110.35,329.5,39.85,143.55,288.35,2002.0,109.65,69.3,180.0,52.0,158.2,31.35,13.85,23.85,756.9
2021-08-05,61.0,142.05,191.3,79.95,43.0,4.8,110.2,332.0,40.0,145.75,287.0,2116.0,110.0,69.25,182.7,53.2,165.55,32.6,13.85,23.85,789.6
2021-08-06,61.0,142.05,190.37,80.1,43.0,4.89,108.8,335.0,40.3,145.4,284.0,2135.0,111.0,69.45,186.9,53.3,171.9,32.75,13.85,23.6,786.75
2021-08-09,61.5,142.05,191.68,79.9,43.4,4.82,105.65,328.0,39.8,144.5,275.55,2142.5,109.8,69.5,180.45,54.9,166.15,32.25,13.85,23.25,802.65
2021-08-10,62.3,142.05,200.9,80.3,45.4,4.68,107.0,331.5,40.55,151.45,283.0,2182.0,112.55,72.9,180.25,59.3,170.7,32.85,13.85,23.6,844.25
2021-08-11,64.3,142.05,204.11,81.55,46.4,4.83,105.9,347.0,40.9,155.6,287.05,2274.5,111.9,74.7,181.15,60.3,172.0,33.35,13.85,24.5,894.0
2021-08-12,63.9,142.05,202.02,79.8,46.55,4.65,105.95,358.5,40.55,153.35,284.45,2300.0,113.45,73.5,178.8,61.9,173.3,33.55,13.85,24.05,873.1
2021-08-13,63.3,142.05,201.25,76.5,45.7,4.57,105.9,363.0,41.45,150.6,285.75,2290.5,117.15,73.6,178.75,59.3,171.5,33.75,13.85,23.85,862.85
2021-08-17,61.4,142.05,195.62,77.0,43.75,4.47,100.95,354.5,41.9,148.3,276.55,2269.5,112.6,70.9,177.55,58.2,165.9,33.0,13.85,23.2,838.75
2021-08-18,61.3,142.05,195.62,76.55,44.05,4.45,97.75,357.5,41.65,146.5,271.15,2259.0,109.65,70.7,180.5,59.0,161.4,32.85,13.85,22.85,809.95
2021-08-19,61.4,142.05,198.94,75.1,43.55,4.42,93.75,360.5,41.7,149.25,263.15,2225.5,109.95,69.65,177.75,58.3,163.85,31.85,13.85,22.65,784.95
2021-08-20,61.3,142.05,201.87,73.85,44.45,4.55,96.25,366.0,40.55,153.55,264.75,2253.0,111.55,71.35,184.3,60.3,168.2,32.15,13.85,23.2,802.35
